iter	RMSE
0	0.1348749765
1	0.1296703045
2	0.1248240319
3	0.1202599051
4	0.1160082912
5	0.1120442095
6	0.1081758394
7	0.1047006857
8	0.1013427351
9	0.09812652592
10	0.09521166341
11	0.09234212356
12	0.08979134471
13	0.08734715301
14	0.08502506203
15	0.08290158934
16	0.0809441147
17	0.07909763607
18	0.07736667247
19	0.07580045233
20	0.07433682201
21	0.07298353732
22	0.07166488371
23	0.07045838437
24	0.06936080169
25	0.06831925228
26	0.06741356861
27	0.06649190405
28	0.06568755445
29	0.06494584967
30	0.06425337848
31	0.06365907222
32	0.06309882735
33	0.06257301735
34	0.06201102415
35	0.06155892201
36	0.06110587423
37	0.06071483872
38	0.06027888097
39	0.05992280888
40	0.05954704495
41	0.05927446064
42	0.05899675758
43	0.05869632815
44	0.05844216168
45	0.05819866224
46	0.05795363666
47	0.05776074406
48	0.0575488254
49	0.05730405963
50	0.05711493958
51	0.05691124044
52	0.0567497315
53	0.0565423772
54	0.05632424337
55	0.05615891531
56	0.05600239166
57	0.05588647208
58	0.05575270419
59	0.05560281054
60	0.05548269552
61	0.0553370771
62	0.05522215853
63	0.0551077274
64	0.054997289
65	0.05490677154
66	0.05479547518
67	0.05471655939
68	0.05459736897
69	0.05448070486
70	0.05438651417
71	0.05431199
72	0.05419158138
73	0.05407378242
74	0.05395399184
75	0.05389419848
76	0.05381439547
77	0.05373411935
78	0.05367620388
79	0.05360209335
80	0.05352391211
81	0.05345448822
82	0.05340892608
83	0.05335746815
84	0.05327656613
85	0.05323121729
86	0.05316505259
87	0.05307919715
88	0.05302460722
89	0.05298419908
90	0.05294867328
91	0.0528700124
92	0.05282585212
93	0.0527469079
94	0.0526247271
95	0.05255843114
96	0.05247912883
97	0.0524137039
98	0.05236816956
99	0.05226490822
100	0.05220864946
101	0.05216333574
102	0.05212222275
103	0.05208712741
104	0.0520453512
105	0.05201015924
106	0.05190467866
107	0.05185894386
108	0.05178115588
109	0.05170230495
110	0.05164494697
111	0.05160271055
112	0.05155962487
113	0.05153081849
114	0.0515007887
115	0.05147345635
116	0.05142747144
117	0.05137804517
118	0.05132077872
119	0.05120748552
120	0.05117980574
121	0.05115263531
122	0.05112722324
123	0.05105171531
124	0.05103092372
125	0.05100660523
126	0.05096475555
127	0.05091329095
128	0.05085173226
129	0.0508080962
130	0.05071874677
131	0.05065948601
132	0.05062404576
133	0.05058185889
134	0.05055298609
135	0.05052770315
136	0.05050050139
137	0.05046159452
138	0.05039761205
139	0.05036822489
140	0.05030638132
141	0.05023475595
142	0.05021115555
143	0.05018229739
144	0.05015327357
145	0.05010344456
146	0.05005975524
147	0.04997863627
148	0.0499392319
149	0.04989417357
150	0.04984615411
151	0.04981964954
152	0.04976132879
153	0.04974548048
154	0.0497273246
155	0.04970762981
156	0.04966878026
157	0.0496495141
158	0.04962079251
159	0.04959980043
160	0.04955901755
161	0.04951724761
162	0.04947915583
163	0.0494614347
164	0.04944470516
165	0.04942002056
166	0.04940015766
167	0.04937760144
168	0.04935001497
169	0.04931959206
170	0.04928608092
171	0.04924023264
172	0.0491838114
173	0.04913765104
174	0.04907945856
175	0.04906195549
176	0.0490252681
177	0.04895709705
178	0.04889642749
179	0.04888091011
180	0.04885381884
181	0.04881529908
182	0.04877624274
183	0.04875254681
184	0.04873937903
185	0.04870542133
186	0.04866385204
187	0.04859307759
188	0.04857670996
189	0.04855049123
190	0.04851031793
191	0.04849396192
192	0.04844915422
193	0.04841544011
194	0.04838403281
195	0.04836029469
196	0.0483403152
197	0.04831753844
198	0.04823809248
199	0.04822381534
200	0.04821339259
201	0.04817654218
202	0.04814465157
203	0.04812283026
204	0.04805475493
205	0.04801123914
206	0.04795736681
207	0.04788567579
208	0.04785837897
209	0.04783603486
210	0.04782206094
211	0.04779716278
212	0.04774633587
213	0.04771052104
214	0.04769107768
215	0.04761044097
216	0.04757566883
217	0.04753849761
218	0.04749941978
219	0.04747026954
220	0.04742536072
221	0.04738670469
222	0.04732502757
223	0.04730499564
224	0.04729393026
225	0.04727137722
226	0.04725297862
227	0.04722646077
228	0.04719863625
229	0.04713364677
230	0.04710756014
231	0.04706797248
232	0.04704788483
233	0.04703393616
234	0.04700097541
235	0.04694845551
236	0.0469399677
237	0.04691998383
238	0.04689122489
239	0.04686756835
240	0.04682867334
241	0.0467424449
242	0.04671448963
243	0.04669384928
244	0.04667444788
245	0.04661341551
246	0.04657847534
247	0.04656128025
248	0.04647751873
249	0.04645756145
250	0.04642477315
251	0.04639688017
252	0.04637920178
253	0.04634985084
254	0.04633296133
255	0.04629932239
256	0.04625771283
257	0.04622649305
258	0.04620374001
259	0.04617567901
260	0.04616075059
261	0.04611498541
262	0.04607049295
263	0.0460577015
264	0.0460240985
265	0.04601401033
266	0.04600136263
267	0.04595244604
268	0.04593654911
269	0.04591692827
270	0.04588857943
271	0.04585464438
272	0.04579651515
273	0.04575795348
274	0.04574454927
275	0.04572571848
276	0.04570812737
277	0.04564689241
278	0.04562473785
279	0.0456135541
280	0.04558716121
281	0.04555655108
282	0.04552424052
283	0.04550388203
284	0.04548034628
285	0.04546927093
286	0.04545422409
287	0.04543515039
288	0.04541269127
289	0.04538958942
290	0.04536723472
291	0.04535257627
292	0.04533252575
293	0.04530392373
294	0.04527262282
295	0.04525559975
296	0.0452463876
